month,data
2016-10-01,0
2016-11-01,0
2016-12-01,0
2017-01-01,0
2017-02-01,0
2017-03-01,0
2017-04-01,0
2017-05-01,0
2017-06-01,0
2017-07-01,0
2017-08-01,0
2017-09-01,0
2017-10-01,0
2017-11-01,0
2017-12-01,0.13472
2018-01-01,0
2018-02-01,0
2018-03-01,0
2018-04-01,0.02886
2018-05-01,0
2018-06-01,0
2018-07-01,0
2018-08-01,0
2018-09-01,0
2018-10-01,0
2018-11-01,0
2018-12-01,0
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,0
2019-05-01,0.02405
2019-06-01,0.17803
2019-07-01,0.40898
2019-08-01,0.45229
2019-09-01,8.66573
2019-10-01,4.99927
2019-11-01,4.75869
2019-12-01,8.55988
2020-01-01,9.58956
2020-02-01,8.43959
2020-03-01,8.49732
2020-04-01,7.52538
2020-05-01,15.57041
2020-06-01,12.30332
2020-07-01,12.11085
2020-08-01,40.72559
2020-09-01,35.56753
2020-10-01,27.38295
2020-11-01,34.07111
2020-12-01,20.8632
2021-01-01,14.00182
2021-02-01,11.70668
2021-03-01,29.99085
2021-04-01,48.69845
2021-05-01,50.38252
2021-06-01,43.82909
2021-07-01,52.53813
2021-08-01,54.25107
2021-09-01,53.3946
2021-10-01,56.87821
2021-11-01,60.28484
2021-12-01,45.06567
2022-01-01,25.4968
2022-02-01,20.78621
2022-03-01,44.48347
2022-04-01,68.89765
2022-05-01,74.78227
2022-06-01,77.03411
2022-07-01,100
2022-08-01,90.11692
2022-09-01,83.78001
