month,data
2016-10-01,60.06074
2016-11-01,71.86933
2016-12-01,44.41543
2017-01-01,25.90322
2017-02-01,21.43237
2017-03-01,35.11137
2017-04-01,39.35841
2017-05-01,44.25556
2017-06-01,72.61536
2017-07-01,45.59309
2017-08-01,58.61131
2017-09-01,39.10263
2017-10-01,51.8331
2017-11-01,47.44218
2017-12-01,37.01374
2018-01-01,31.25333
2018-02-01,25.3064
2018-03-01,41.29276
2018-04-01,43.8559
2018-05-01,41.08494
2018-06-01,43.89853
2018-07-01,38.64435
2018-08-01,100
2018-09-01,32.04199
2018-10-01,40.95704
2018-11-01,41.47394
2018-12-01,27.60844
2019-01-01,20.46253
2019-02-01,17.43578
2019-03-01,30.44335
2019-04-01,40.27496
2019-05-01,41.82031
2019-06-01,37.47735
2019-07-01,24.04881
2019-08-01,26.67057
2019-09-01,32.7294
2019-10-01,44.41543
2019-11-01,45.23606
2019-12-01,36.84855
2020-01-01,24.88543
2020-02-01,22.96706
2020-03-01,27.27805
2020-04-01,56.06948
2020-05-01,49.04081
2020-06-01,54.07652
2020-07-01,45.82223
2020-08-01,47.85782
2020-09-01,56.66098
2020-10-01,54.15112
2020-11-01,62.4214
2020-12-01,59.93285
2021-01-01,34.04561
2021-02-01,29.69199
2021-03-01,53.44239
2021-04-01,76.42545
2021-05-01,72.13577
2021-06-01,62.9596
2021-07-01,59.27208
2021-08-01,55.34477
2021-09-01,58.90973
2021-10-01,81.35457
2021-11-01,75.42363
2021-12-01,52.77629
2022-01-01,29.25503
2022-02-01,25.49291
2022-03-01,46.52563
2022-04-01,67.16402
2022-05-01,67.8461
2022-06-01,59.4053
2022-07-01,57.03399
2022-08-01,48.08163
2022-09-01,58.5527
