month,data
2016-10-01,19.48574
2016-11-01,22.52055
2016-12-01,14.26447
2017-01-01,16.05737
2017-02-01,6.45443
2017-03-01,8.92076
2017-04-01,14.23823
2017-05-01,15.16529
2017-06-01,19.31082
2017-07-01,18.24383
2017-08-01,21.23491
2017-09-01,17.34301
2017-10-01,17.92023
2017-11-01,19.54696
2017-12-01,13.84467
2018-01-01,34.00384
2018-02-01,12.04302
2018-03-01,18.75983
2018-04-01,24.04232
2018-05-01,23.16774
2018-06-01,16.81826
2018-07-01,23.81493
2018-08-01,32.13223
2018-09-01,24.12978
2018-10-01,21.1387
2018-11-01,23.4651
2018-12-01,14.95539
2019-01-01,8.49221
2019-02-01,9.5592
2019-03-01,14.92041
2019-04-01,18.13013
2019-05-01,17.44796
2019-06-01,14.74549
2019-07-01,20.96379
2019-08-01,12.50655
2019-09-01,15.44516
2019-10-01,17.9902
2019-11-01,17.43921
2019-12-01,12.05177
2020-01-01,39.73237
2020-02-01,16.74829
2020-03-01,11.90309
2020-04-01,18.26132
2020-05-01,22.68672
2020-06-01,21.89085
2020-07-01,34.87843
2020-08-01,100
2020-09-01,68.74234
2020-10-01,33.19923
2020-11-01,41.28039
2020-12-01,26.60486
2021-01-01,24.85569
2021-02-01,21.01626
2021-03-01,27.42697
2021-04-01,35.19328
2021-05-01,65.93493
2021-06-01,38.94525
2021-07-01,92.41735
2021-08-01,57.61763
2021-09-01,46.76403
2021-10-01,64.6143
2021-11-01,40.31834
2021-12-01,32.48207
2022-01-01,15.4539
2022-02-01,10.34633
2022-03-01,27.87301
2022-04-01,45.07608
2022-05-01,52.44009
2022-06-01,50.10495
2022-07-01,77.42697
2022-08-01,85.63932
2022-09-01,63.02256
