month,data
2016-10-01,8.7956
2016-11-01,7.28702
2016-12-01,6.50556
2017-01-01,6.1173
2017-02-01,5.66088
2017-03-01,12.93111
2017-04-01,13.78073
2017-05-01,8.10207
2017-06-01,9.61756
2017-07-01,7.42632
2017-08-01,6.86221
2017-09-01,8.05366
2017-10-01,7.76419
2017-11-01,7.85014
2017-12-01,6.47296
2018-01-01,6.44826
2018-02-01,5.22124
2018-03-01,17.09526
2018-04-01,18.21262
2018-05-01,11.96984
2018-06-01,10.77049
2018-07-01,7.95684
2018-08-01,7.24948
2018-09-01,8.08527
2018-10-01,9.59682
2018-11-01,8.10009
2018-12-01,7.59624
2019-01-01,7.29789
2019-02-01,5.94738
2019-03-01,17.95378
2019-04-01,19.63821
2019-05-01,12.42133
2019-06-01,10.89991
2019-07-01,7.85805
2019-08-01,8.95367
2019-09-01,9.43875
2019-10-01,9.34983
2019-11-01,8.02699
2019-12-01,7.90547
2020-01-01,7.51326
2020-02-01,7.30283
2020-03-01,14.76175
2020-04-01,23.13255
2020-05-01,19.7785
2020-06-01,18.6562
2020-07-01,16.49657
2020-08-01,10.08683
2020-09-01,13.44879
2020-10-01,13.61081
2020-11-01,16.21007
2020-12-01,23.69962
2021-01-01,15.74179
2021-02-01,100
2021-03-01,30.91255
2021-04-01,29.60057
2021-05-01,21.33154
2021-06-01,19.64118
2021-07-01,19.33986
2021-08-01,18.33611
2021-09-01,17.01919
2021-10-01,26.0687
2021-11-01,20.13613
2021-12-01,17.43116
2022-01-01,13.95757
2022-02-01,12.25634
2022-03-01,28.32317
2022-04-01,26.82546
2022-05-01,19.10077
2022-06-01,16.10337
2022-07-01,14.00104
2022-08-01,12.44504
2022-09-01,12.5221
