month,data
2016-10-01,9.76774
2016-11-01,8.37419
2016-12-01,5.79354
2017-01-01,3.80645
2017-02-01,2.72258
2017-03-01,7.71612
2017-04-01,6.99354
2017-05-01,5.76774
2017-06-01,9.27741
2017-07-01,4.14193
2017-08-01,4.49032
2017-09-01,5.69032
2017-10-01,6.95483
2017-11-01,7.2
2017-12-01,4.21935
2018-01-01,2.4387
2018-02-01,1.85806
2018-03-01,5.2129
2018-04-01,6.05161
2018-05-01,8.11612
2018-06-01,6.64516
2018-07-01,5.44516
2018-08-01,5.08387
2018-09-01,4.61935
2018-10-01,5.2387
2018-11-01,5.6258
2018-12-01,3.14838
2019-01-01,3.70322
2019-02-01,2.0258
2019-03-01,6.09032
2019-04-01,7.41935
2019-05-01,7.71612
2019-06-01,5.93548
2019-07-01,3.39354
2019-08-01,3.78064
2019-09-01,8.21935
2019-10-01,8.86451
2019-11-01,9.6387
2019-12-01,7.2
2020-01-01,7.39354
2020-02-01,6.8387
2020-03-01,6.70967
2020-04-01,10.29677
2020-05-01,12.25806
2020-06-01,12.89032
2020-07-01,17.12258
2020-08-01,37.18709
2020-09-01,33.18709
2020-10-01,37.97419
2020-11-01,52.15483
2020-12-01,61.6258
2021-01-01,40.95483
2021-02-01,37.12258
2021-03-01,46.77419
2021-04-01,63.18709
2021-05-01,67.31612
2021-06-01,56.05161
2021-07-01,74.56774
2021-08-01,68.64516
2021-09-01,65.94838
2021-10-01,100
2021-11-01,96.07741
2021-12-01,65.88387
2022-01-01,38.10322
2022-02-01,30.95483
2022-03-01,58.47741
2022-04-01,59.34193
2022-05-01,63.25161
2022-06-01,49.6
2022-07-01,59.26451
2022-08-01,50.0129
2022-09-01,54.72258
