NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
1,산업통상자원부,(유)에스케이씨에보닉페록사이드코리아,울산광역시 남구 상개로 99(상개동) ,2017,사업장,석유화학,"52,368",tCO₂eq,-,-,"1,123",TJ,-,-,(재)한국품질재단,-
2,국토교통부,(유)호남고속,전라북도 전주시 덕진구 신복천변로 28 (팔복동1가),2017,사업장,교통(여객),"24,726",tCO₂eq,-,-,381,TJ,-,-,(주)한국경영인증원,-
3,산업통상자원부,(주)HM금속,경상남도 함안군 군북면 함안산단로 170,2017,사업장,철강,"30,616",tCO₂eq,-,-,534,TJ,-,-,한국표준협회,-
4,농림축산식품부,(주)MH에탄올,경상남도 창원시 마산회원구 내서읍 광려천남로 25,2017,사업장,음료제조업,"23,319",tCO₂eq,-,-,287,TJ,-,-,(재)한국화학융합시험연구원,-
5,농림축산식품부,(주)MSC,경상남도 양산시 소주회야로 45-73,2017,사업장,음식료품,"25,355",tCO₂eq,-,-,506,TJ,-,-,한국산업기술시험원,-
6,산업통상자원부,(주)SIMPAC METAL,경상북도 포항시 남구  괴동로 153 ,2017,업체,철강,"407,757",tCO₂eq,177.87,tCO2eq/억원,"4,430",TJ,1.93,TJ/억원,한국표준협회,"229,245,382,265"
7,산업통상자원부,(주)SPP조선,경남 사천시 사남면 해안산업로 537 ,2017,사업장,조선,"3,396",tCO₂eq,-,-,56,TJ,-,-,㈜디엔브이지엘비즈니스어슈어런스코리아,-
8,국토교통부,(주)강원랜드,강원도 정선군 사북읍 하이원길 265,2017,사업장,건물,"71,158",tCO₂eq,-,-,"1,438",TJ,-,-,한국표준협회,-
9,산업통상자원부,(주)건화,경상남도 거제시 연초면 연하해안로841-54,2017,사업장,조선,"25,198",tCO₂eq,-,-,437,TJ,-,-,한국표준협회,-
10,국토교통부,(주)경기고속,경기도 광주시  광주대로 171 ,2017,업체,교통(여객),"178,260",tCO₂eq,62.19,tCO2eq/억원,"2,738",TJ,0.96,TJ/억원,산림조합중앙회,"286,641,971,000"
11,국토교통부,(주)경남고속,부산광역시 금정구  중앙대로 2008 예일빌딩,2017,사업장,교통(여객),"26,233",tCO₂eq,-,-,371,TJ,-,-,(주)한국경영인증원,-
12,산업통상자원부,(주)경동,강원도 삼척시 도계읍 도상로 512,2017,업체,광업,"217,844",tCO₂eq,228.69,tCO2eq/억원,387,TJ,0.41,TJ/억원,(재)한국품질재단,"95,256,928,000"
13,산업통상자원부,(주)경방,서울특별시 영등포구 영중로 15 (영등포동4가),2017,업체,섬유,"59,533",tCO₂eq,20.66,tCO2eq/억원,"1,208",TJ,0.42,TJ/억원,한국생산성본부인증원(주),"288,103,985,000"
14,산업통상자원부,(주)경신전선,충청남도 천안시 서북구 입장면 연곡길 567,2017,사업장,반도체.디스플레이.전기전자,"15,435",tCO₂eq,-,-,315,TJ,-,-,한국표준협회,-
15,국토교통부,(주)국민은행,서울특별시 영등포구 국제금융로8길 26 국민은행,2017,업체,건물,"110,995",tCO₂eq,0.68,tCO2eq/억원,"1,670",TJ,0.01,TJ/억원,한국표준협회,"16,236,933,000,000"
16,산업통상자원부,(주)국일방적 정읍공장,전라북도 정읍시 2산단6길 22-11 (하북동),2017,사업장,섬유,"22,632",tCO₂eq,-,-,465,TJ,-,-,대일이엔씨기술(주),-
17,농림축산식품부,(주)그린바이텍,전라북도 익산시 망성면 망성로 12,2017,사업장,음식료품,"4,990",tCO₂eq,-,-,238,TJ,-,-,(재)한국품질재단,-
18,환경부,(주)그린스코,인천광역시 남동구 앵고개로 654번길 99,2017,사업장,폐기물,"53,327",tCO₂eq,-,-,117,TJ,-,-,(주)한국경영인증원,-
19,국토교통부,(주)금남고속,대전광역시 대덕구 대전로 1429 (읍내동 171 ),2017,사업장,교통(여객),"37,352",tCO₂eq,-,-,529,TJ,-,-,(주)한국경영인증원,-
20,산업통상자원부,(주)금비,경기도 이천시 부발읍 중부대로 1707번길 13,2017,사업장,유리,"77,150",tCO₂eq,-,-,"1,094",TJ,-,-,한국표준협회,-
21,해양수산부,(주)남해고속,전라남도 목포시 해안로 182 목포항여객선터미널 315호,2017,사업장,교통(해운),"18,238",tCO₂eq,-,-,259,TJ,-,-,㈜한국품질보증원,-
22,산업통상자원부,(주)네오오토 예산공장,충청남도 예산군 삽교읍 두루머리길 8,2017,사업장,자동차,"17,833",tCO₂eq,-,-,364,TJ,-,-,(주)한국경영인증원,-
23,산업통상자원부,(주)넥센,경상남도 김해시  김해대로 2595 (주)넥센,2017,사업장,석유화학,"21,434",tCO₂eq,-,-,385,TJ,-,-,한국표준협회,-
24,국토교통부,(주)농협물류,서울특별시 서대문구 통일로 87 (미근동),2017,사업장,교통(화물),"29,955",tCO₂eq,-,-,424,TJ,-,-,티유브이슈드코리아㈜,-
25,농림축산식품부,(주)농협사료,서울특별시 강동구 올림픽로 528 (성내동),2017,업체,식료품 제조업,"80,251",tCO₂eq,6.92,tCO2eq/억원,"1,579",TJ,0.14,TJ/억원,(재)한국품질재단,"1,159,461,915,100"
26,산업통상자원부,(주)단석산업,전라북도 군산시 소룡동 1582-13,2017,사업장,비철금속,"51,606",tCO₂eq,-,-,782,TJ,-,-,한국표준협회,-
27,산업통상자원부,(주)대농 청원공장,충청북도 청주시 청원구 내수읍 도원세교로 59-36,2017,사업장,섬유,"17,696",tCO₂eq,-,-,364,TJ,-,-,지속가능인증원주식회사,-
28,산업통상자원부,(주)대림제지,경기도 오산시 황새로 169,2017,사업장,제지,"82,982",tCO₂eq,-,-,"1,170",TJ,-,-,이큐에이㈜,-
29,국토교통부,(주)대명레저산업,강원도 홍천군 서면 한치골길 262 대명비발디파크,2017,사업장,건물,"49,373",tCO₂eq,-,-,991,TJ,-,-,한국표준협회,-
30,산업통상자원부,(주)대승프론티어,충청남도 천안시 동남구 수신면 발산4길 33,2017,사업장,유리 · 요업,"21,894",tCO₂eq,-,-,408,TJ,-,-,한국표준협회,-
31,국토교통부,(주)대우건설,서울특별시 중구 을지로 170 을지트윈타워 (에이동),2017,업체,건설,"70,501",tCO₂eq,0.62,tCO2eq/억원,"1,408",TJ,0.01,TJ/억원,한국표준협회,"11,332,055,896,000"
32,산업통상자원부,(주)대우전자,광주광역시 광산구 용아로 559 (장덕동),2017,사업장,기계,"11,688",tCO₂eq,-,-,235,TJ,-,-,이큐에이㈜,-
33,산업통상자원부,(주)대욱케스트,경상북도 고령군 다산면 다산산단로 156,2017,사업장,철강,"22,074",tCO₂eq,-,-,406,TJ,-,-,이큐에이㈜,-
34,국토교통부,(주)대원고속,경기도 광주시  광주대로 171 ,2017,업체,교통(여객),"159,420",tCO₂eq,63.59,tCO2eq/억원,"2,447",TJ,0.98,TJ/억원,산림조합중앙회,"250,704,777,253"
