NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
1,국토교통부,(유)호남고속,전라북도 전주시 덕진구 신복천변로 28 (팔복동1가),2020,사업장,교통(여객),"21,850",tCO₂eq,-,-,341,TJ,-,-,(주)한국경영인증원,-
2,국토교통부,(주)경기고속,경기도 광주시 광주대로 171 (송정동),2020,업체,교통(여객),"109,380",tCO₂eq,60,tCO₂eq/억원,1727,TJ,0.945353055,TJ/억원,산림조합중앙회,"182,683,071,861"
3,국토교통부,(주)경남고속,부산광역시 금정구 중앙대로 2008 6층 (남산동),2020,사업장,교통(여객),"14,747",tCO₂eq,-,-,208,TJ,-,-,(주)한국경영인증원,-
4,국토교통부,(주)공항리무진,서울특별시 강서구 개화동로8길 17 (개화동),2020,사업장,교통(여객),"6,755",tCO₂eq,-,-,96,TJ,-,-,(주)한국경영인증원,-
5,국토교통부,(주)국민은행,서울특별시 영등포구 국제금융로8길 26 (여의도동),2020,업체,건물,"111,653",tCO₂eq,0,tCO₂eq/억원,1697,TJ,0.007230472,TJ/억원,한국표준협회,"23,470,113,000,000"
6,국토교통부,(주)금남고속,대전광역시 대덕구 대전로 1429,2020,사업장,교통(여객),"19,848",tCO₂eq,-,-,282,TJ,-,-,(주)한국경영인증원,-
7,국토교통부,(주)농협물류,서울특별시 서대문구 통일로 87 (미근동),2020,사업장,교통(화물),"30,429",tCO₂eq,-,-,437,TJ,-,-,한국표준협회,-
8,국토교통부,(주)대명티피앤이,강원도 홍천군 서면 한치골길 264,2020,사업장,건물,"9,465",tCO₂eq,-,-,188,TJ,-,-,(주)한국경영인증원,-
9,국토교통부,(주)대우건설,서울특별시 종로구  새문안로 75 대우건설,2020,업체,건설,"58,969",tCO₂eq,1,tCO₂eq/억원,1174,TJ,0.015372013,TJ/억원,(주)비에스아이그룹코리아,"7,637,255,920,891"
10,국토교통부,(주)대원고속,경기도 광주시 광주대로 171 (송정동),2020,업체,교통(여객),"115,574",tCO₂eq,62,tCO₂eq/억원,1822,TJ,0.972720462,TJ/억원,산림조합중앙회,"187,309,722,609"
11,국토교통부,(주)대원버스,경기도 성남시 분당구 탄천상로 171,2020,사업장,교통(여객),"28,153",tCO₂eq,-,-,477,TJ,-,-,산림조합중앙회,-
12,국토교통부,(주)대원여객,서울특별시 광진구 자양로 131 케이앤드에스 빌딩,2020,사업장,교통(여객),"21,099",tCO₂eq,-,-,399,TJ,-,-,산림조합중앙회,-
13,국토교통부,(주)대원운수,서울특별시 광진구 자양로 131 (자양동),2020,사업장,교통(여객),"35,681",tCO₂eq,-,-,595,TJ,-,-,산림조합중앙회,-
14,국토교통부,(주)동방,서울특별시 중구 남대문로 63 23층 (소공동),2020,업체,교통(화물),"43,317",tCO₂eq,8,tCO₂eq/억원,625,TJ,0.112594676,TJ/억원,대일이엔씨기술(주),"555,088,410,696"
15,국토교통부,(주)동양고속,경기도 안양시 동안구 호계동  1029-9,2020,업체,수송,"51,023",tCO₂eq,61,tCO₂eq/억원,726,TJ,0.870514176,TJ/억원,(주)한국경영인증원,"83,398,986,443"
16,국토교통부,(주)무주덕유산리조트,전라북도 무주군 설천면 만선로 185 무주리조트,2020,사업장,건물,"18,237",tCO₂eq,-,-,328,TJ,-,-,(주)한국경영인증원,-
17,국토교통부,(주)부산롯데호텔,부산광역시 부산진구 가야대로 772 ,2020,사업장,건물,"10,010",tCO₂eq,-,-,203,TJ,-,-,(주)한국경영인증원,-
18,국토교통부,(주)삼우에프앤지,경기도 용인시 수지구 손곡로 29,2020,사업장,교통(화물),"19,103",tCO₂eq,-,-,307,TJ,-,-,한국표준협회,-
19,국토교통부,(주)삼화고속,인천광역시 중구 서해대로418번길 70 2층(신흥동3가),2020,사업장,교통(여객),"12,121",tCO₂eq,-,-,172,TJ,-,-,(주)한국경영인증원,-
20,국토교통부,(주)선진운수,서울특별시 은평구 서오릉로 207 (구산동),2020,사업장,교통(여객),"27,228",tCO₂eq,-,-,509,TJ,-,-,(재)한국품질재단,-
21,국토교통부,(주)세아엘앤에스,경상북도 포항시 남구 철강로 348 (호동),2020,사업장,교통(화물),"15,637",tCO₂eq,-,-,228,TJ,-,-,한국표준협회,-
22,국토교통부,(주)시흥교통,경기도 시흥시 신현로 181 포동공영차고지,2020,사업장,교통(여객),"25,508",tCO₂eq,-,-,455,TJ,-,-,한국표준협회,-
23,국토교통부,(주)신한은행,서울특별시 중구 세종대로9길 20 신한은행 본점,2020,업체,건물,"71,819",tCO₂eq,0,tCO₂eq/억원,1109,TJ,0.004658457,TJ/억원,㈜디엔브이비즈니스어슈어런스코리아,"23,806,167,000,000"
24,국토교통부,(주)아라리오,충청남도 천안시 동남구  만남로 43 ,2020,사업장,건물,"12,193",tCO₂eq,-,-,248,TJ,-,-,(주)한국경영인증원,-
25,국토교통부,(주)에스앤아이코퍼레이션,경기도 광주시 도척면 도척윗로 278,2020,사업장,건물,"14,399",tCO₂eq,-,-,290,TJ,-,-,(재)한국품질재단,-
26,국토교통부,(주)우리은행,서울특별시 중구 소공로 51 (회현동1가),2020,업체,건물,"78,455",tCO₂eq,0,tCO₂eq/억원,1147,TJ,0.004416394,TJ/억원,㈜디엔브이비즈니스어슈어런스코리아,"25,971,413,000,000"
