,TRGT_YEAR,GHG_EMS
0,2016,60242
1,2016,23971
2,2016,25332
3,2016,334985
4,2016,50797
5,2016,11114
6,2016,71448
7,2016,29325
8,2016,178894
9,2016,26731
10,2016,276458
11,2016,63753
12,2016,61494
13,2016,16078
14,2016,117495
15,2016,23716
16,2016,5857
17,2016,49300
18,2016,37742
19,2016,85034
20,2016,22133
21,2016,30191
22,2016,81987
23,2016,32183
24,2016,17814
25,2016,18202
26,2016,86836
27,2016,49970
28,2016,26762
29,2016,68589
30,2016,19333
31,2016,165784
32,2016,38747
33,2016,21811
34,2016,26149
35,2016,16348
36,2016,22661
37,2016,47498
38,2016,63617
39,2016,310272
40,2016,21753
41,2016,16719
42,2016,23066
43,2016,67772
44,2016,13834
45,2016,192420
46,2016,64154
47,2016,19167
48,2016,81610
49,2016,27624
50,2016,59241
51,2016,39537
52,2016,17904
53,2016,432356
54,2016,117721
55,2016,40453
56,2016,21863
57,2016,7728
58,2016,70155
59,2016,26475
60,2016,515544
61,2016,39575
62,2016,72487
63,2016,17847
64,2016,23064
65,2016,58400
66,2016,10489
67,2016,26414
68,2016,17443
69,2016,104496
70,2016,28521
71,2016,17819
72,2016,16507
73,2016,32020
74,2016,22816
75,2016,129537
76,2016,15408
77,2016,19408
78,2016,19228
79,2016,18904
80,2016,21942
81,2016,33264
82,2016,18778
83,2016,14158
84,2016,24157
85,2016,17152
86,2016,21187
87,2016,1215225
88,2016,68025
89,2016,25366
90,2016,16657
91,2016,83749
92,2016,25121
93,2016,167426
94,2016,20673
95,2016,16526
96,2016,19952
97,2016,83246
98,2016,70187
99,2016,312763
100,2016,15835
101,2016,89086
102,2016,30697
103,2016,14201
104,2016,18283
105,2016,19351
106,2016,1710173
107,2016,18185
108,2016,31358
109,2016,165169
110,2016,23200
111,2016,26610
112,2016,151272
113,2016,31144
114,2016,37379
115,2016,68907
116,2016,74707
117,2016,17508
118,2016,24615
119,2016,30463
120,2016,149918
121,2016,88472
122,2016,175280
123,2016,188056
124,2016,47269
125,2016,492413
126,2016,51400
127,2016,273854
128,2016,66147
129,2016,59375
130,2016,38977
131,2016,14611
132,2016,710479
133,2016,19907
134,2016,27252
135,2016,33549
136,2016,20554
137,2016,80077
138,2016,65112
139,2016,16816
140,2016,193600
141,2016,27855
142,2016,22367
143,2016,18379
144,2016,28230
145,2016,29854
146,2016,16943
147,2016,34785
148,2016,148972
149,2016,26706
150,2016,53526
151,2016,145375
152,2016,14662
153,2016,46662
154,2016,94760
155,2016,36833
156,2016,30165
157,2016,99327
158,2016,19233
159,2016,48690
160,2016,12593
161,2016,15178
162,2016,18112
163,2016,119608
164,2016,56660
165,2016,220408
166,2016,27129
167,2016,20092
168,2016,30085
169,2016,13186
170,2016,30836
171,2016,19842
172,2016,32305
173,2016,17200
174,2016,28391
175,2016,72087
176,2016,49332
177,2016,21793
178,2016,21365
179,2016,88777
180,2016,67208
181,2016,22600
182,2016,18581
183,2016,1144502
184,2016,131917
185,2016,142395
186,2016,122062
187,2016,10238
188,2016,142085
189,2016,21748
190,2016,27692
191,2016,21946
192,2016,22997
193,2016,29883
194,2016,23084
195,2016,14472
196,2016,14751
197,2016,48175
198,2016,195574
199,2016,336497
200,2016,98360
201,2016,1245755
202,2016,23856
203,2016,68590
204,2016,19461
205,2016,181184
206,2016,20242
207,2016,20515
208,2016,7641045
209,2016,20533
210,2016,264833
211,2016,24736
212,2016,166661
213,2016,1614318
214,2016,87431
215,2016,17384
216,2016,18781
217,2016,90324
218,2016,15732
219,2016,18896
220,2016,21730
