,year,rainseason
0,1990,34.09090909090909
1,1991,36.515151515151516
2,1992,21.757575757575758
3,1993,39.24242424242424
4,1994,17.757575757575758
5,1995,28.424242424242426
6,1996,28.939393939393938
7,1997,28.606060606060606
8,1998,35.333333333333336
9,1999,27.696969696969695
10,2000,27.09090909090909
11,2001,33.54545454545455
12,2002,31.575757575757574
13,2003,32.93939393939394
14,2004,23.636363636363637
15,2005,22.87878787878788
16,2006,39.24242424242424
17,2007,35.96969696969697
18,2008,38.84848484848485
19,2009,36.121212121212125
20,2010,37.90909090909091
21,2011,29.03030303030303
22,2012,25.666666666666668
23,2013,46.75757575757576
24,2014,28.848484848484848
25,2015,35.24242424242424
26,2016,32.15151515151515
27,2017,30.333333333333332
28,2018,15.212121212121213
29,2019,32.84848484848485
30,2020,44.96969696969697
31,2021,17.0
32,2022,33.06060606060606
