,no,loc,start,end,rainseason,rainday,total,year_time,end_time,year,month
0,130,울진,2016-06-18,2016-07-16,29,11,324.1,2016-06-18,2016-07-16,2016,6
1,136,안동,2016-06-18,2016-07-16,29,13,293.1,2016-06-18,2016-07-16,2016,6
2,138,포항,2016-06-18,2016-07-16,29,14,137.0,2016-06-18,2016-07-16,2016,6
3,140,군산,2016-06-18,2016-07-16,29,15,352.2,2016-06-18,2016-07-16,2016,6
4,143,대구,2016-06-18,2016-07-16,29,16,189.0,2016-06-18,2016-07-16,2016,6
5,146,전주,2016-06-18,2016-07-16,29,16,320.3,2016-06-18,2016-07-16,2016,6
6,152,울산,2016-06-18,2016-07-16,29,16,179.3,2016-06-18,2016-07-16,2016,6
7,155,창원,2016-06-18,2016-07-16,29,17,274.9,2016-06-18,2016-07-16,2016,6
8,156,광주,2016-06-18,2016-07-16,29,14,391.8,2016-06-18,2016-07-16,2016,6
9,159,부산,2016-06-18,2016-07-16,29,19,283.4,2016-06-18,2016-07-16,2016,6
10,162,통영,2016-06-18,2016-07-16,29,16,331.1,2016-06-18,2016-07-16,2016,6
11,165,목포,2016-06-18,2016-07-16,29,16,369.7,2016-06-18,2016-07-16,2016,6
12,168,여수,2016-06-18,2016-07-16,29,18,305.5,2016-06-18,2016-07-16,2016,6
13,170,완도,2016-06-18,2016-07-16,29,21,347.9,2016-06-18,2016-07-16,2016,6
14,184,제주,2016-06-18,2016-07-16,29,18,243.9,2016-06-18,2016-07-16,2016,6
15,185,고산,2016-06-18,2016-07-16,29,14,299.5,2016-06-18,2016-07-16,2016,6
16,188,성산,2016-06-18,2016-07-16,29,20,389.1,2016-06-18,2016-07-16,2016,6
17,189,서귀포,2016-06-18,2016-07-16,29,18,450.8,2016-06-18,2016-07-16,2016,6
18,192,진주,2016-06-18,2016-07-16,29,17,234.2,2016-06-18,2016-07-16,2016,6
19,243,부안,2016-06-18,2016-07-16,29,14,255.6,2016-06-18,2016-07-16,2016,6
20,244,임실,2016-06-18,2016-07-16,29,20,309.0,2016-06-18,2016-07-16,2016,6
21,245,정읍,2016-06-18,2016-07-16,29,16,243.4,2016-06-18,2016-07-16,2016,6
22,247,남원,2016-06-18,2016-07-16,29,16,323.9,2016-06-18,2016-07-16,2016,6
23,248,장수,2016-06-18,2016-07-16,29,20,408.7,2016-06-18,2016-07-16,2016,6
24,260,장흥,2016-06-18,2016-07-16,29,20,323.9,2016-06-18,2016-07-16,2016,6
25,261,해남,2016-06-18,2016-07-16,29,20,292.9,2016-06-18,2016-07-16,2016,6
26,262,고흥,2016-06-18,2016-07-16,29,17,270.7,2016-06-18,2016-07-16,2016,6
27,271,봉화,2016-06-18,2016-07-16,29,13,402.6,2016-06-18,2016-07-16,2016,6
28,272,영주,2016-06-18,2016-07-16,29,11,486.5,2016-06-18,2016-07-16,2016,6
29,273,문경,2016-06-18,2016-07-16,29,14,429.6,2016-06-18,2016-07-16,2016,6
30,277,영덕,2016-06-18,2016-07-16,29,14,197.7,2016-06-18,2016-07-16,2016,6
31,278,의성,2016-06-18,2016-07-16,29,13,238.6,2016-06-18,2016-07-16,2016,6
32,279,구미,2016-06-18,2016-07-16,29,14,309.5,2016-06-18,2016-07-16,2016,6
33,281,영천,2016-06-18,2016-07-16,29,16,203.5,2016-06-18,2016-07-16,2016,6
34,284,거창,2016-06-18,2016-07-16,29,13,260.4,2016-06-18,2016-07-16,2016,6
35,285,합천,2016-06-18,2016-07-16,29,15,231.7,2016-06-18,2016-07-16,2016,6
36,288,밀양,2016-06-18,2016-07-16,29,16,209.4,2016-06-18,2016-07-16,2016,6
37,289,산청,2016-06-18,2016-07-16,29,20,268.5,2016-06-18,2016-07-16,2016,6
38,294,거제,2016-06-18,2016-07-16,29,19,424.7,2016-06-18,2016-07-16,2016,6
39,295,남해,2016-06-18,2016-07-16,29,18,309.6,2016-06-18,2016-07-16,2016,6
40,90,속초,2016-06-24,2016-07-30,37,18,485.6,2016-06-24,2016-07-30,2016,6
41,95,철원,2016-06-24,2016-07-30,37,20,456.1,2016-06-24,2016-07-30,2016,6
42,100,대관령,2016-06-24,2016-07-30,37,14,429.6,2016-06-24,2016-07-30,2016,6
43,101,춘천,2016-06-24,2016-07-30,37,19,625.9,2016-06-24,2016-07-30,2016,6
44,105,강릉,2016-06-24,2016-07-30,37,15,422.4,2016-06-24,2016-07-30,2016,6
45,108,서울,2016-06-24,2016-07-30,37,18,361.7,2016-06-24,2016-07-30,2016,6
46,112,인천,2016-06-24,2016-07-30,37,14,304.6,2016-06-24,2016-07-30,2016,6
47,114,원주,2016-06-24,2016-07-30,37,16,367.4,2016-06-24,2016-07-30,2016,6
48,119,수원,2016-06-24,2016-07-30,37,18,324.3,2016-06-24,2016-07-30,2016,6
49,127,충주,2016-06-24,2016-07-30,37,17,399.8,2016-06-24,2016-07-30,2016,6
50,129,서산,2016-06-24,2016-07-30,37,14,325.0,2016-06-24,2016-07-30,2016,6
