year,avg_temp,spr_temp,sum_temp,fall_temp,win_temp
1973,12.3,11.5,24.5,12.8,-1.5
1974,11.3,10.7,22.3,12.8,-0.2
1975,12.5,11.1,23.8,15.4,0.2
1976,11.5,10.8,22.5,12.4,-1.8
1977,12.2,11.7,23.4,14.9,0.6
1978,12.7,11.6,24.7,14.2,2.0
1979,12.5,11.1,23.5,13.5,-0.4
1980,11.1,10.8,22.0,13.3,-2.5
1981,11.3,11.4,23.5,12.1,-0.3
1982,12.3,11.9,23.3,14.2,-0.3
1983,12.2,12.1,23.4,14.1,-2.3
1984,11.7,10.6,24.3,13.7,-0.8
1985,12.0,11.4,24.0,14.2,-2.2
1986,11.4,11.3,22.8,12.5,1.0
1987,12.1,11.0,23.1,13.9,0.2
1988,12.0,10.9,23.5,13.5,1.6
1989,12.7,12.2,22.8,13.6,1.3
1990,12.8,11.5,24.1,14.9,-0.2
1991,12.0,11.2,23.2,13.3,1.4
1992,12.2,11.4,23.0,13.2,0.8
1993,11.6,10.9,21.6,13.6,0.2
1994,13.0,11.6,25.1,14.4,0.4
1995,11.7,10.9,23.5,13.1,-1.0
1996,11.8,10.4,23.3,13.8,0.1
1997,12.4,11.8,23.8,13.7,1.6
1998,13.2,13.2,22.9,15.1,1.3
1999,12.5,11.9,23.1,14.4,-0.1
2000,12.2,11.4,24.0,13.4,0.0
2001,12.4,12.0,24.0,14.0,1.2
2002,12.4,12.5,22.9,12.2,0.6
2003,12.2,11.8,22.2,14.5,1.0
2004,12.9,12.0,23.8,14.4,0.2
2005,12.1,11.5,23.9,14.5,-0.5
2006,12.6,11.3,23.5,14.8,2.0
2007,13.0,11.8,23.6,14.2,0.4
2008,12.7,12.3,23.5,14.8,1.4
2009,12.7,12.4,23.1,14.4,0.2
2010,12.4,10.6,24.7,14.2,-1.0
2011,12.1,10.8,23.9,15.0,-0.8
2012,12.1,12.0,24.5,13.4,-1.4
2013,12.6,11.4,25.2,14.2,1.2
2014,12.8,12.9,23.4,14.5,0.3
2015,13.1,12.5,23.5,14.9,1.1
2016,13.4,13.0,24.6,14.8,1.3
2017,12.8,12.7,24.3,14.0,-1.1
2018,12.8,12.9,25.3,13.5,1.0
2019,13.3,12.5,23.9,15.2,2.8
2020,13.0,12.0,23.9,14.1,0.9
2021,13.3,12.8,24.2,14.9,0.3
